Date Time,Open,High,Low,Close,Volume,Adj Close
2021-08-25 04:00:00,447.98,447.99,447.5,447.84,0,447.84
2021-08-25 04:05:00,447.84,447.89,447.84,447.89,0,447.89
2021-08-25 04:10:00,447.88,448.19,447.88,448.19,0,448.19
2021-08-25 04:15:00,448.19,448.42,448.19,448.39,0,448.39
2021-08-25 04:25:00,448.34,448.34,448.22,448.26,0,448.26
2021-08-25 04:30:00,448.26,448.32,448.24,448.32,0,448.32
2021-08-25 04:35:00,448.28,448.28,448.11,448.11,0,448.11
2021-08-25 04:40:00,448.12,448.17,448.12,448.12,0,448.12
2021-08-25 04:45:00,448.12,448.15,448.1,448.13,0,448.13
2021-08-25 04:50:00,448.15,448.16,448.15,448.15,0,448.15
2021-08-25 04:55:00,448.17,448.18,448.14,448.14,0,448.14
2021-08-25 05:00:00,448.12,448.14,448.05,448.12,0,448.12
2021-08-25 05:05:00,448.14,448.14,448.05,448.1,0,448.1
2021-08-25 05:10:00,448.1,448.16,448.1,448.16,0,448.16
2021-08-25 05:15:00,448.15,448.28,448.15,448.28,0,448.28
2021-08-25 05:20:00,448.22,448.23,448.17,448.23,0,448.23
2021-08-25 05:25:00,448.24,448.24,448.17,448.17,0,448.17
2021-08-25 05:30:00,448.16,448.22,448.1,448.12,0,448.12
2021-08-25 05:35:00,448.11,448.14,448.09,448.14,0,448.14
2021-08-25 05:40:00,448.13,448.13,448.1,448.12,0,448.12
2021-08-25 05:45:00,448.09,448.17,448.09,448.17,0,448.17
2021-08-25 05:50:00,448.15,448.19,448.15,448.19,0,448.19
2021-08-25 05:55:00,448.17,448.17,448.11,448.14,0,448.14
2021-08-25 06:05:00,448.19,448.19,448.14,448.16,0,448.16
2021-08-25 06:10:00,448.16,448.18,448.14,448.18,0,448.18
2021-08-25 06:15:00,448.15,448.21,448.13,448.13,0,448.13
2021-08-25 06:20:00,448.15,448.15,448.11,448.15,0,448.15
2021-08-25 06:25:00,448.14,448.14,448.1,448.1,0,448.1
2021-08-25 06:30:00,448.1,448.12,448.07,448.07,0,448.07
2021-08-25 06:35:00,448.07,448.15,448.07,448.1,0,448.1
2021-08-25 06:40:00,448.12,448.18,448.0,448.0,0,448.0
2021-08-25 06:45:00,447.97,448.07,447.97,448.0,0,448.0
2021-08-25 06:50:00,447.99,448.09,447.97,448.09,0,448.09
2021-08-25 06:55:00,448.09,448.14,448.04,448.1,0,448.1
2021-08-25 07:00:00,448.09,448.13,448.04,448.1,0,448.1
2021-08-25 07:05:00,448.1,448.1,447.87,447.87,0,447.87
2021-08-25 07:10:00,447.97,447.99,447.94,447.94,0,447.94
